the_geom,cartodb_id,address,latitude,longitude,neighborhood
0101000020E6100000433866D9934153C02953CC41D0774340,174,Georgia & New Hampshire Ave NW,38.936043,-77.024649,Petworth
0101000020E6100000C3D32B65194253C00000000000784340,175,14th St & Spring Rd NW,38.9375,-77.0328,Petworth
0101000020E6100000C45A7C0A804153C007CBD8D0CD764340,176,Columbia Rd & Georgia Ave NW,38.928156,-77.02344,Pleasant Plains
0101000020E610000067B96C74CE4153C08C6665FB90714340,177,USDA / 12th & Independence Ave SW,38.887237,-77.028226,Southwest Employment Area
0101000020E610000002486DE2E44053C0F6B4C35F93714340,178,Washington & Independence Ave SW/HHS,38.88731,-77.01397,Southwest Employment Area
0101000020E61000009D67EC4B364153C002637D0393714340,179,Maryland & Independence Ave SW,38.887299,-77.018939,Southwest Employment Area
0101000020E6100000A31EA2D11D4153C0A9DE1AD82A714340,180,4th & E St SW,38.88412,-77.017445,Southwest Employment Area
0101000020E6100000B1DEA815A64153C097AC8A7093714340,181,Independence Ave & LEnfant Plaza SW/DOE,38.887312,-77.025762,Southwest Employment Area
0101000020E610000057E883656C4153C042C70E2A71714340,182,LEnfant Plaza / 7th & C St SW,38.886266,-77.022241,Southwest Employment Area
0101000020E6100000B398D87C5C4153C04E62105839704340,183,6th & Water St SW / SW Waterfront,38.87675,-77.02127,Southwest/Waterfront
0101000020E61000009A779CA2234153C09C33A2B437704340,184,4th & M St SW,38.8767,-77.0178,Southwest/Waterfront
0101000020E6100000378AAC35944553C0F7C9518028784340,185,Ward Circle / American University,38.938736,-77.087171,Spring Valley
0101000020E61000008E183DB7D03F53C0CDEA1D6E87724340,186,D St & Maryland Ave NE,38.894758,-76.997114,Stanton Park
0101000020E610000086E5CFB7054053C0B2F4A10BEA714340,187,4th & East Capitol St NE,38.889955,-77.000349,Stanton Park
0101000020E6100000D3DC0A61353F53C007B5DFDA89724340,188,13th & D St NE,38.894832,-76.987633,Stanton Park
0101000020E6100000520DFB3DB13F53C08DEA7420EB714340,189,8th & East Capitol St NE,38.889988,-76.995193,Stanton Park
0101000020E6100000A3AEB5F7A93F53C08BC6DADFD9724340,190,8th & F St NE,38.897274,-76.994749,Stanton Park
0101000020E6100000B30C71AC8B3F53C0B66AD784B4724340,191,Maryland Ave & E St NE,38.896134,-76.9929,Stanton Park
0101000020E61000008B71FE26144153C00BB8E7F9D37C4340,192,Takoma Metro,38.975219,-77.016855,Takoma
0101000020E61000006E4F90D8EE4453C09BE09BA6CF784340,193,39th & Veazey St NW,38.943837,-77.077078,Tenleytown
0101000020E610000007793D98144553C0F73AA92F4B794340,194,Tenleytown / Wisconsin Ave & Albemarle St NW,38.947607,-77.079382,Tenleytown
0101000020E610000018D00B772E3F53C0A12C7C7DAD734340,195,Neal St & Trinidad Ave NE,38.903732,-76.987211,Trinidad
0101000020E6100000BE9F1A2FDD4053C0302AA913D0744340,196,Florida Ave & R St NW,38.9126,-77.0135,Truxton Circle
0101000020E6100000C1CAA145B63F53C0BA6B09F9A0774340,197,John McCormack Dr & Michigan Ave NE,38.9346,-76.9955,University Heights
0101000020E610000018963FDF164453C0B933130CE7784340,198,Van Ness Metro / UDC,38.944551,-77.063896,Van Ness
0101000020E61000002ECBD765F84353C0F13FF9BB77784340,199,Connecticut Ave & Tilden St NW,38.941154,-77.062036,Van Ness
0101000020E6100000C1C58A1A4C4353C0DC4603780B744340,200,24th & N St NW,38.9066,-77.05152,West End
0101000020E6100000E674594C6C4353C0F31E679AB0734340,201,25th St & Pennsylvania Ave NW,38.903827,-77.053485,West End
0101000020E6100000EB5223F4334353C01F12BEF737764340,202,Calvert St & Woodley Pl NW,38.923583,-77.050046,Woodley Park
0101000020E61000002EAC1BEF8E4353C05A07077B13774340,203,3000 Connecticut Ave NW / National Zoo,38.930282,-77.055599,Woodley Park
